object,init,strategy,seed,psnr,ssim,lpips,precision@0.5%,recall@0.5%,fscore@0.5%,chamfer,precision@1%,recall@1%,fscore@1%,precision@2%,recall@2%,fscore@2%,num_gs,round,n_views,train_s,signal_s,ig_s,ig_gains,select_s
bookcase,uniform,ig,0,29.38574301401774,0.9643020490805309,0.03448304363604014,0.84519,0.8838093109037054,0.8640683507181632,0.01219295641993103,0.926315,0.9911026658469793,0.9576142770213864,0.963835,1.0,0.9815845017529476,85840,0,10,79.48877573013306,1.0486366748809814,1.0148062705993652,"[299, 94, 71, 31, 22]",1.034855842590332
bookcase,uniform,ig,0,33.02498795191447,0.9755761424700419,0.02002094907608504,0.84086,0.8564745990051975,0.8485954763917531,0.006364108832157168,0.936555,0.9803778013748393,0.957965486435506,0.99506,0.9997261498910188,0.9973876174796035,90945,1,15,77.25828337669373,1.2230329513549805,1.2042629718780518,"[27, 18, 9, 6, 6]",1.2149484157562256
bookcase,uniform,ig,0,33.81906534830729,0.9780590971310933,0.019047216752854486,0.83958,0.8510534846029173,0.84527780989827,0.006461225310969836,0.92779,0.9689263957972392,0.9479121103699473,0.995325,1.0,0.9976570232919449,94864,2,20,78.13445973396301,1.1346828937530518,1.2142367362976074,"[6, 6, 5, 4, 3]",1.2200019359588623
bookcase,uniform,ig,0,34.23546425501505,0.9791415562232335,0.018453504234397164,0.829915,0.8408148437936623,0.8353293665988973,0.0064146672706734895,0.93485,0.9701279830101157,0.9521623378386214,0.993595,1.0,0.9967872110433664,101007,3,25,75.55063104629517,1.2963652610778809,1.2524821758270264,"[8, 7, 3, 2, 2]",1.2605350017547607
bookcase,uniform,ig,0,34.96181716918945,0.9805680563052496,0.017341975246866544,0.85911,0.8681495556921701,0.8636061237383853,0.0058439425802567346,0.95997,0.9812049404795171,0.9704713233928759,0.995015,1.0,0.9975012719202613,98981,4,30,76.97962379455566,,,,
bookcase,uniform,ig,1,21.780187352498373,0.9384740730126698,0.10211522029712797,0.479685,0.8793326999385235,0.6207464497174559,0.20147383371031585,0.52324,0.9918012630637679,0.6850639722327396,0.552055,1.0,0.7113858722790107,98228,0,10,77.0158760547638,1.119497299194336,1.0855913162231445,"[2894, 721, 613, 375, 228]",1.097078561782837
bookcase,uniform,ig,1,32.53610750834147,0.9750097135702769,0.022828066799168784,0.878315,0.890538199295814,0.8843843670304448,0.007167059261565474,0.966685,0.9899681439669145,0.9781880433958392,0.986635,1.0,0.9932725437737682,104433,1,15,81.24733376502991,1.2193272113800049,1.1493916511535645,"[89, 43, 21, 13, 11]",1.1574416160583496
bookcase,uniform,ig,1,33.80443716049194,0.979189756512642,0.017912881852438053,0.8436,0.8637008886156597,0.8535321155100669,0.006074468737994441,0.96019,0.981942659140446,0.9709445103480773,0.99538,1.0,0.9976846515450691,101519,2,20,80.8368980884552,1.3055715560913086,1.1876139640808105,"[8, 7, 6, 5, 5]",1.193603754043579
bookcase,uniform,ig,1,34.68584947586059,0.9817068050305049,0.016119798583288988,0.83788,0.8531660425864863,0.8454539329620944,0.006071881357714533,0.95885,0.9853853462247807,0.9719365930284806,0.99614,1.0,0.9980662678970413,100888,3,25,76.97056794166565,1.2941498756408691,1.230696201324463,"[11, 7, 6, 3, 3]",1.238110065460205
bookcase,uniform,ig,1,35.592223930358884,0.9834118117888768,0.014870049109837661,0.870695,0.8863242608841446,0.8784401167488468,0.0056553785397109755,0.959175,0.9870284468786676,0.9729024085875729,0.99643,1.0,0.9982118080774182,103743,4,30,75.99159073829651,,,,
